,date,open,high,low,close,volume,average,barCount,rsi,sma,smal,ema,bb_h,bb_l,bb_m,pos_rsi,pnl_rsi,capital,strategy,pos_bb,pnl_bb,cum_rsi,cum_bb
82,2018-06-27,272.26,273.87,269.18,269.35,771747,271.2745,329284,48.13598907452146,274.3473333333334,270.0781000000001,274.48870585700706,280.28688685529306,270.88311314470644,275.58499999999975,0.0,0.0,101896.02000000003,bb,0.0,0.0,0.0,1896.0200000000002
83,2018-06-28,269.29,271.75,268.49,270.89,604914,270.0215,289354,43.20515163625083,274.28666666666675,270.0363000000001,273.99359101348256,280.69551284733654,270.18748715266304,275.4414999999998,0.0,-0.0,101896.02000000003,bb,378.0,-0.0,0.0,1896.0200000000002
84,2018-06-29,272.12,273.66,271.19,271.28,598339,272.51,254144,48.496804443816266,274.2926666666668,270.1576000000001,273.81515377410324,280.71524006547,270.13975993452954,275.4274999999998,0.0,0.0,102965.76000000002,bb,378.0,1069.7399999999939,0.0,2965.759999999994
85,2018-07-02,269.51,272.04,269.24,271.86,481303,270.5215,214594,44.47408380165231,274.2223333333334,270.1677000000001,273.40513912895057,281.054741402952,269.2992585970476,275.1769999999998,0.0,-0.0,101979.18000000002,bb,378.0,-986.5800000000052,0.0,1979.1799999999887
86,2018-07-03,272.87,272.98,270.42,270.9,299437,271.8795,136478,50.084758535324745,274.2190000000001,270.21670000000006,273.35417349762196,281.03184226755224,269.10515773244725,275.06849999999974,0.0,0.0,103249.26000000002,bb,378.0,1270.0800000000052,0.0,3249.259999999994
87,2018-07-05,272.16,273.18,270.96,273.11,415116,272.2825,197419,48.98380908569357,274.15900000000016,270.3305000000001,273.2404426883246,280.9695956473104,268.80240435268905,274.88599999999974,0.0,-0.0,102980.88000000003,bb,378.0,-268.37999999999226,0.0,2980.8800000000015
88,2018-07-06,273.14,275.84,272.71,275.42,470061,274.9675,204266,50.56273006686761,274.22433333333345,270.4238,273.230876718008,280.60459884126567,268.6864011587338,274.64549999999974,0.0,0.0,103351.32000000002,bb,378.0,370.4399999999854,0.0,3351.319999999987
89,2018-07-09,276.55,277.96,276.5,277.9,326034,277.353,158061,55.59630122454288,274.34533333333343,270.54990000000004,273.54698369724537,280.5688010196498,268.6921989803497,274.63049999999976,0.0,0.0,104640.30000000003,bb,0.0,1288.9800000000096,0.0,4640.2999999999965
90,2018-07-10,278.41,279.01,278.08,278.9,380668,278.639,155679,58.048758821218755,274.55300000000005,270.68890000000005,274.0101281070315,280.5634650980501,268.6945349019495,274.6289999999998,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
91,2018-07-11,277.14,278.04,276.52,276.86,563548,277.2535,233436,55.83242083717368,274.7806666666667,270.74440000000004,274.30821114445706,280.2414623268403,268.8275376731593,274.5344999999998,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
92,2018-07-12,278.27,279.43,277.6,279.37,427824,278.7865,182865,57.357311639970575,275.0386666666667,270.80400000000003,274.68552436879446,280.06215995732504,268.91684004267455,274.4894999999998,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
93,2018-07-13,279.19,279.93,278.66,279.59,369539,279.5235,159838,58.58277936845126,275.2730000000001,270.8756000000001,275.1145220479569,280.1008362091161,268.8961637908834,274.49849999999975,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
94,2018-07-16,279.64,279.81,278.84,279.34,303328,279.295,131636,59.186672907868484,275.5143333333334,270.95300000000003,275.5455199481515,280.6252384043131,268.67576159568637,274.65049999999974,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
95,2018-07-17,278.47,280.91,278.41,280.47,399920,280.0505,168943,56.91545206859971,275.646,271.02680000000004,275.82404185785134,280.99509997094503,268.60390002905444,274.79949999999974,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
96,2018-07-18,280.59,281.18,280.06,281.06,300227,280.783,126747,59.85381926049967,275.831,271.11460000000005,276.27794263329406,281.8020289973876,268.455971002612,275.1289999999998,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
97,2018-07-19,280.31,280.74,279.46,280.0,443417,280.155,184894,59.291637776310004,275.981,271.15840000000003,276.66194809678984,282.3647952770873,268.2972047229123,275.3309999999998,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
98,2018-07-20,279.76,280.48,279.5,279.68,432835,279.953,179298,58.16208713768056,276.04133333333334,271.17490000000004,276.9570006590003,282.81304744910346,268.2289525508961,275.5209999999998,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
99,2018-07-23,279.45,280.43,279.06,280.2,340261,279.8725,147167,57.51203766138606,276.128,271.2126,277.19442916766695,283.2014184350103,268.2195815649893,275.7104999999998,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
100,2018-07-24,281.79,282.56,280.63,281.61,466779,281.645,195549,60.97743326660312,276.23966666666666,271.32390000000004,277.6321025802701,283.9878768438175,268.2681231561821,276.1279999999998,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
101,2018-07-25,281.33,284.37,281.28,284.01,508550,282.736,202163,59.965374259412314,276.3163333333333,271.47920000000005,277.984283286911,284.5006198647066,268.72438013529296,276.6124999999998,0.0,-0.0,104640.30000000003,bb,0.0,-0.0,0.0,4640.2999999999965
102,2018-07-26,283.21,284.11,283.09,283.34,383194,283.482,176602,62.633438273704,276.45099999999996,271.63400000000007,278.4819705929195,285.2803423573135,269.039657642686,277.15999999999974,0.0,0.0,104640.30000000003,bb,0.0,0.0,0.0,4640.2999999999965
